ID,School,OverallWin,OverallLoss,SimpleRanking,ScheduleStrength,ConferenceWin,ConferenceLoss,HomeWin,HomeLoss,AwayWin,AwayLoss,Points,PointsAgainst,FieldGoals,FieldGoalsAtt,3P,3PAtt,FreeThrows,FreeThrowsAtt,OffensiveReb,TotalReb,Assists,Steals,Blocks,TurnoverPct,PersonalFouls
5,Alabama State,22,9,-8.86,-13.61,15,3,11,2,8,5,2135,1980,756,1713,165,506,458,696,386,1175,410,260,93,510,502
12,Arizona,28,8,26.84,12.56,15,3,13,2,7,5,2926,2386,1015,2131,193,544,703,940,487,1433,585,283,159,546,630
16,Arkansas,20,11,16.61,6.16,10,6,16,2,3,7,2476,2152,881,1990,273,741,441,639,410,1100,476,365,124,451,654
25,Boston College,27,5,17.99,5.18,13,3,17,0,6,4,2547,2129,879,1934,230,651,559,788,486,1166,464,326,97,423,652
29,Brigham Young,24,9,10.94,3.47,10,4,15,0,4,6,2324,2069,744,1620,185,485,651,835,292,988,414,203,108,433,491
33,Butler,24,8,12.55,3.98,11,3,13,1,7,6,2228,1946,755,1643,251,617,467,652,305,922,388,222,89,377,505
36,Cal State Northridge,22,10,5.94,0.24,13,3,13,1,8,6,2650,2409,910,1842,217,547,613,865,373,1158,608,267,77,489,716
39,University of California,20,11,14.76,9.08,11,7,14,3,5,7,2304,2128,813,1699,176,503,502,732,281,998,508,225,66,424,570
47,Charlotte,22,11,14.24,7.91,10,6,10,2,7,7,2583,2374,873,1998,305,848,532,777,411,1267,471,231,97,418,663
50,Cincinnati,25,10,16.19,7.84,11,5,11,3,7,5,2586,2294,921,2076,214,600,530,760,464,1216,451,194,118,380,666
63,Creighton,24,8,12.4,3,14,4,14,0,7,5,2325,2024,788,1782,249,694,500,712,357,1084,490,293,114,426,646
74,Duke,35,4,32.18,11.98,13,3,13,2,9,1,3538,2750,1217,2530,407,1057,697,1002,538,1505,701,411,196,531,659
78,Eastern Illinois,21,10,0.99,-2.46,11,5,13,0,5,9,2564,2439,915,1931,230,584,504,650,359,1124,514,197,116,427,577
90,Florida,24,7,21.32,7.51,12,4,14,2,8,3,2509,2081,849,1764,256,668,555,761,319,1145,538,271,114,451,589
92,Fresno State,26,7,15.66,5.14,13,3,17,1,6,4,2689,2342,954,2030,241,678,540,793,389,1240,592,330,209,551,626
94,George Mason,18,12,5.12,-0.35,11,5,10,1,6,9,2127,1963,784,1705,142,439,417,633,357,1018,411,252,129,429,544
96,Georgetown,25,8,12.07,1.58,10,6,13,3,7,3,2574,2228,924,2115,186,561,540,817,607,1481,547,324,198,550,694
98,Georgia State,29,5,5.25,-3.72,16,2,16,0,10,4,2701,2337,929,2068,276,780,567,808,441,1171,449,351,129,435,617
99,Georgia Tech,17,13,14.51,11.78,8,8,12,3,3,8,2269,2187,776,1822,260,700,457,662,345,1125,488,238,136,474,645
100,Georgia,16,15,12.67,12.71,9,7,9,4,5,7,2257,2258,845,1820,142,411,425,632,397,1193,471,195,149,485,569
101,Gonzaga,26,7,12.57,0.32,13,1,13,1,9,5,2720,2271,915,1793,245,606,645,947,369,1265,537,191,135,472,619
104,Hampton,25,7,-3.67,-10.6,14,4,10,1,11,5,2471,2246,850,1846,200,575,571,835,434,1243,449,218,185,489,596
107,Hawaii,17,14,6.89,7.25,8,8,13,5,2,8,2254,2265,797,1703,177,507,483,666,335,999,557,183,74,516,605
109,Hofstra,26,5,5.11,-5.47,16,2,12,1,11,2,2257,1929,784,1657,167,503,522,807,373,1166,414,237,119,511,547
110,Holy Cross,22,8,-0.31,-5.84,10,2,13,1,9,6,2034,1868,640,1437,136,388,618,940,388,1155,385,188,157,512,583
117,Illinois,27,8,23.32,11.38,13,3,13,0,7,4,2725,2307,929,2046,247,678,620,880,479,1400,550,269,146,524,772
118,Indiana State,22,12,6.95,2.5,10,8,12,2,5,8,2479,2305,861,1872,213,594,544,772,334,1069,521,237,100,402,576
119,Indiana,21,13,17.58,11.05,10,6,13,2,4,6,2408,2186,858,1896,181,500,511,804,377,1268,513,231,178,496,650
120,Iona,22,11,0.25,-4.09,12,6,12,2,8,6,2549,2375,912,1896,159,415,566,822,378,1239,481,259,183,557,717
121,Iowa State,25,6,15.9,4.87,13,3,16,0,6,4,2451,2115,823,1735,182,436,623,856,375,1228,429,190,102,467,636
122,Iowa,23,12,14.24,10.7,7,9,12,4,5,6,2593,2469,815,1895,210,573,753,1068,482,1351,474,191,83,520,783
129,Kansas,26,7,20.23,9.03,12,4,14,1,8,4,2707,2286,1002,1996,183,465,520,789,443,1407,641,217,170,532,648
130,Kent State,24,10,8.69,1.44,13,5,10,2,7,5,2390,2117,823,1917,180,516,564,739,403,1103,429,233,105,346,671
131,Kentucky,24,10,20.27,11.06,12,4,11,1,6,6,2713,2400,988,2051,245,708,492,751,464,1311,539,229,151,513,631
154,Maryland,25,11,23.82,10.99,10,6,11,3,6,4,3067,2605,1120,2313,205,540,622,894,543,1478,692,322,213,523,713
161,Michigan State,28,5,25.12,9.54,13,3,17,0,7,3,2553,2039,957,1957,146,453,493,686,514,1404,579,210,133,451,611
168,Mississippi,27,8,15.05,9.2,11,5,15,1,6,4,2496,2262,865,1958,224,655,542,829,416,1227,500,285,115,500,719
171,Missouri,20,13,10.76,9.19,9,7,13,1,3,8,2493,2402,847,2015,279,734,520,742,466,1259,418,258,132,497,679
172,Monmouth,21,10,-3.82,-8.85,15,5,10,2,8,7,2180,2024,756,1664,201,570,467,678,300,1055,439,280,105,471,517
192,North Carolina-Greensboro,19,12,-5.02,-5.85,10,6,10,1,6,10,2282,2230,773,1741,184,480,552,718,343,1049,414,271,118,475,648
195,North Carolina,26,7,19.95,11.77,13,3,12,2,8,3,2611,2341,945,1972,189,519,532,794,411,1363,576,244,184,518,576
201,Northwestern State,19,13,-11.1,-7.82,11,9,8,3,8,9,2292,2397,768,1856,175,551,581,877,410,1178,392,308,133,537,765
203,Notre Dame,20,10,14.35,5.68,11,5,13,4,6,4,2338,2078,814,1763,219,570,491,714,370,1214,527,199,178,434,501
205,Ohio State,20,11,15.68,8.17,11,5,14,3,5,4,2206,1973,775,1645,169,443,487,697,355,1090,473,161,160,471,607
207,Oklahoma State,20,10,10.81,4.7,10,6,15,1,4,7,2129,1936,767,1652,129,395,466,736,364,1139,406,241,115,506,568
208,Oklahoma,26,7,15.54,5.48,12,4,13,1,5,5,2454,2122,859,1924,242,636,494,668,420,1184,444,281,91,420,706
214,Penn State,21,12,12.42,10.54,7,9,10,4,5,6,2535,2473,835,1962,278,757,587,768,349,1069,481,279,117,407,657
221,Princeton,16,11,-2.53,-1.88,11,3,9,1,6,7,1562,1569,540,1203,218,619,264,363,174,692,383,180,61,340,456
222,Providence,21,10,13.74,5.44,11,5,13,3,8,3,2359,2049,806,1809,249,622,498,693,391,1129,506,286,172,467,644
235,Saint Josephâ€™s,26,7,12.72,4.45,14,2,13,1,10,5,2625,2352,905,1879,255,716,560,808,368,1241,590,204,128,479,652
254,Southern California,24,10,16.53,10.83,11,7,13,3,7,5,2620,2420,898,1955,208,597,616,873,422,1250,514,259,151,512,617
258,Southern Utah,25,6,3.01,-3.42,13,3,13,0,9,5,2243,2015,783,1602,197,493,480,673,335,997,462,321,87,470,613
263,Stanford,31,3,25.76,9.86,16,2,13,2,11,0,2829,2226,953,1865,252,587,671,903,365,1244,568,187,108,438,778
267,Syracuse,25,9,11.14,5.82,10,6,15,2,4,5,2475,2294,885,2029,185,552,520,727,442,1311,545,325,203,441,681
268,Temple,24,13,16.2,9.77,12,4,12,5,8,6,2604,2366,926,2168,281,815,471,673,494,1322,416,270,138,307,585
272,Tennessee,22,11,15.49,10.28,8,8,13,3,6,6,2668,2496,909,1980,257,697,593,872,421,1301,528,232,191,528,712
282,Texas,25,9,14.25,8.89,12,4,16,1,6,5,2396,2211,819,1990,215,626,543,835,483,1346,414,268,191,502,771
288,UCLA,23,9,17.13,12.06,14,4,12,4,8,3,2544,2382,902,1947,190,535,550,829,441,1219,464,249,127,515,670
289,Utah State,28,6,9.97,-1.5,13,3,15,0,7,4,2404,1959,852,1755,200,513,500,743,370,1177,511,220,132,486,581
298,Virginia,20,9,18.93,8.72,9,7,15,1,5,7,2464,2168,852,1872,204,553,556,755,437,1131,420,221,98,399,590
300,Wake Forest,19,11,20.53,10.5,8,8,13,3,6,6,2296,1995,838,1815,177,494,443,609,342,1104,465,219,136,375,572
307,Western Kentucky,24,7,8.67,-1.65,14,2,13,2,9,4,2303,1889,812,1789,213,605,466,674,441,1240,452,246,155,453,588
311,Winthrop,18,13,-3.73,-7.8,11,3,11,1,5,8,2037,1917,684,1676,215,613,454,661,398,1103,351,223,78,441,610
312,Wisconsin,18,11,14.9,12.08,9,7,13,2,5,7,1723,1641,575,1349,174,477,399,568,233,869,358,172,68,337,520
316,Xavier,21,8,12.14,4.59,12,4,14,1,7,5,2130,1911,706,1653,178,587,540,768,391,1125,398,208,115,415,551
